coefSe1,coefSe2,coefSe3,coefSe4,coefSe5,coefSe6,coefSe7
-2.379675,-2.410317,-1.979936,-1.847498,-.5823172,-.3877611,-.9900292
.1637792,.1121503,.1557821,.1482596,.3086923,.4603662,.2891126
0,-1.816083,-2.328998,-2.417352,-.3564276,-.2612676,-1.327309
0,.1273322,.1560252,.1217035,.3257817,.5026075,.3161083
0,-2.458745,-1.646555,-1.594708,-.367509,-.2177942,-1.234176
0,.1237134,.2249195,.2474442,.3164212,.4620261,.4178106
0,-1.806458,-2.419883,-2.371339,-.4837309,-.2663064,-.8382389
0,.1201913,.1817987,.1397834,.3816214,.5896683,.269691
.5559776,1.59754,2.13354,.7525176,.2638161,1.175722,-.4789894
.2650146,.3746201,.5984126,.7846176,1.034182,1.047403,.6381227
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.160223,2.679387,2.919309,1.135407,.7761633,1.061151,-.4914041
.187626,.3621038,.5913001,.7747807,.9745295,1.0157,.5754966
1.294544,2.03862,2.202844,.6724231,.0496288,0,0
.2291265,.3504879,.581708,.7688282,.9177715,0,0
